  Epoch 1/100 | Batch 420/2306 | Loss: 1.5974 | Acc: 0.3832
  Epoch 1/100 | Batch 430/2306 | Loss: 1.5993 | Acc: 0.3778
  Epoch 1/100 | Batch 440/2306 | Loss: 1.6023 | Acc: 0.3751
  Epoch 1/100 | Batch 450/2306 | Loss: 1.5919 | Acc: 0.3820
  Epoch 1/100 | Batch 460/2306 | Loss: 1.5842 | Acc: 0.3821
  Epoch 1/100 | Batch 470/2306 | Loss: 1.5841 | Acc: 0.3856
  Epoch 1/100 | Batch 480/2306 | Loss: 1.5806 | Acc: 0.3841
  Epoch 1/100 | Batch 490/2306 | Loss: 1.5758 | Acc: 0.3865
  Epoch 1/100 | Batch 500/2306 | Loss: 1.5824 | Acc: 0.3838
  Epoch 1/100 | Batch 510/2306 | Loss: 1.5657 | Acc: 0.3879
  Epoch 1/100 | Batch 520/2306 | Loss: 1.5860 | Acc: 0.3813
  Epoch 1/100 | Batch 530/2306 | Loss: 1.5647 | Acc: 0.3889
  Epoch 1/100 | Batch 540/2306 | Loss: 1.5621 | Acc: 0.3895
  Epoch 1/100 | Batch 550/2306 | Loss: 1.5739 | Acc: 0.3834
  Epoch 1/100 | Batch 560/2306 | Loss: 1.5663 | Acc: 0.3866
  Epoch 1/100 | Batch 570/2306 | Loss: 1.5695 | Acc: 0.3851
  Epoch 1/100 | Batch 580/2306 | Loss: 1.5723 | Acc: 0.3833
  Epoch 1/100 | Batch 590/2306 | Loss: 1.5569 | Acc: 0.3870
  Epoch 1/100 | Batch 600/2306 | Loss: 1.5695 | Acc: 0.3826
  Epoch 1/100 | Batch 610/2306 | Loss: 1.5430 | Acc: 0.3940
  Epoch 1/100 | Batch 620/2306 | Loss: 1.5637 | Acc: 0.3852
  Epoch 1/100 | Batch 630/2306 | Loss: 1.5651 | Acc: 0.3834
  Epoch 1/100 | Batch 640/2306 | Loss: 1.5622 | Acc: 0.3854
  Epoch 1/100 | Batch 650/2306 | Loss: 1.5616 | Acc: 0.3833
  Epoch 1/100 | Batch 660/2306 | Loss: 1.5628 | Acc: 0.3847
  Epoch 1/100 | Batch 670/2306 | Loss: 1.5518 | Acc: 0.3883
  Epoch 1/100 | Batch 680/2306 | Loss: 1.5490 | Acc: 0.3862
  Epoch 1/100 | Batch 690/2306 | Loss: 1.5510 | Acc: 0.3857
  Epoch 1/100 | Batch 700/2306 | Loss: 1.5481 | Acc: 0.3899
  Epoch 1/100 | Batch 710/2306 | Loss: 1.5520 | Acc: 0.3883
  Epoch 1/100 | Batch 720/2306 | Loss: 1.5396 | Acc: 0.3909
  Epoch 1/100 | Batch 730/2306 | Loss: 1.5523 | Acc: 0.3822
  Epoch 1/100 | Batch 740/2306 | Loss: 1.5494 | Acc: 0.3858
  Epoch 1/100 | Batch 750/2306 | Loss: 1.5528 | Acc: 0.3867
  Epoch 1/100 | Batch 760/2306 | Loss: 1.5317 | Acc: 0.3972
  Epoch 1/100 | Batch 770/2306 | Loss: 1.5458 | Acc: 0.3883
  Epoch 1/100 | Batch 780/2306 | Loss: 1.5468 | Acc: 0.3890
  Epoch 1/100 | Batch 790/2306 | Loss: 1.5403 | Acc: 0.3894
  Epoch 1/100 | Batch 800/2306 | Loss: 1.5440 | Acc: 0.3893
  Epoch 1/100 | Batch 810/2306 | Loss: 1.5465 | Acc: 0.3851
  Epoch 1/100 | Batch 820/2306 | Loss: 1.5344 | Acc: 0.3895
  Epoch 1/100 | Batch 830/2306 | Loss: 1.5313 | Acc: 0.3895
  Epoch 1/100 | Batch 840/2306 | Loss: 1.5232 | Acc: 0.3911
  Epoch 1/100 | Batch 850/2306 | Loss: 1.5325 | Acc: 0.3925
  Epoch 1/100 | Batch 860/2306 | Loss: 1.5423 | Acc: 0.3848
  Epoch 1/100 | Batch 870/2306 | Loss: 1.5293 | Acc: 0.3899
  Epoch 1/100 | Batch 880/2306 | Loss: 1.5285 | Acc: 0.3904
  Epoch 1/100 | Batch 890/2306 | Loss: 1.5339 | Acc: 0.3903
  Epoch 1/100 | Batch 900/2306 | Loss: 1.5359 | Acc: 0.3892
  Epoch 1/100 | Batch 910/2306 | Loss: 1.5326 | Acc: 0.3911
  Epoch 1/100 | Batch 920/2306 | Loss: 1.5215 | Acc: 0.3949
  Epoch 1/100 | Batch 930/2306 | Loss: 1.5229 | Acc: 0.3942
  Epoch 1/100 | Batch 940/2306 | Loss: 1.5157 | Acc: 0.3977
  Epoch 1/100 | Batch 950/2306 | Loss: 1.5221 | Acc: 0.3897
  Epoch 1/100 | Batch 960/2306 | Loss: 1.5294 | Acc: 0.3913
  Epoch 1/100 | Batch 970/2306 | Loss: 1.5068 | Acc: 0.3984
  Epoch 1/100 | Batch 980/2306 | Loss: 1.5210 | Acc: 0.3897
  Epoch 1/100 | Batch 990/2306 | Loss: 1.5334 | Acc: 0.3853
  Epoch 1/100 | Batch 1000/2306 | Loss: 1.5170 | Acc: 0.3950
  Epoch 1/100 | Batch 1010/2306 | Loss: 1.5212 | Acc: 0.3925
  Epoch 1/100 | Batch 1020/2306 | Loss: 1.5071 | Acc: 0.3968
  Epoch 1/100 | Batch 1030/2306 | Loss: 1.5118 | Acc: 0.3952
  Epoch 1/100 | Batch 1040/2306 | Loss: 1.5230 | Acc: 0.3942
  Epoch 1/100 | Batch 1050/2306 | Loss: 1.5183 | Acc: 0.3945
  Epoch 1/100 | Batch 1060/2306 | Loss: 1.5005 | Acc: 0.3987
  Epoch 1/100 | Batch 1070/2306 | Loss: 1.5154 | Acc: 0.3958
  Epoch 1/100 | Batch 1080/2306 | Loss: 1.5142 | Acc: 0.3933
  Epoch 1/100 | Batch 1090/2306 | Loss: 1.5175 | Acc: 0.3906
  Epoch 1/100 | Batch 1100/2306 | Loss: 1.5235 | Acc: 0.3898
  Epoch 1/100 | Batch 1110/2306 | Loss: 1.5274 | Acc: 0.3891
  Epoch 1/100 | Batch 1120/2306 | Loss: 1.5138 | Acc: 0.3932
  Epoch 1/100 | Batch 1130/2306 | Loss: 1.5250 | Acc: 0.3857
  Epoch 1/100 | Batch 1140/2306 | Loss: 1.5057 | Acc: 0.3931
  Epoch 1/100 | Batch 1150/2306 | Loss: 1.5114 | Acc: 0.3948
  Epoch 1/100 | Batch 1160/2306 | Loss: 1.5073 | Acc: 0.3985
  Epoch 1/100 | Batch 1170/2306 | Loss: 1.5121 | Acc: 0.3912
  Epoch 1/100 | Batch 1180/2306 | Loss: 1.5071 | Acc: 0.3920
  Epoch 1/100 | Batch 1190/2306 | Loss: 1.4991 | Acc: 0.4009
  Epoch 1/100 | Batch 1200/2306 | Loss: 1.5085 | Acc: 0.3971
  Epoch 1/100 | Batch 1210/2306 | Loss: 1.5145 | Acc: 0.3909
  Epoch 1/100 | Batch 1220/2306 | Loss: 1.5121 | Acc: 0.3933
  Epoch 1/100 | Batch 1230/2306 | Loss: 1.5005 | Acc: 0.4005
  Epoch 1/100 | Batch 1240/2306 | Loss: 1.5099 | Acc: 0.3910
  Epoch 1/100 | Batch 1250/2306 | Loss: 1.5198 | Acc: 0.3907
  Epoch 1/100 | Batch 1260/2306 | Loss: 1.5119 | Acc: 0.3912
  Epoch 1/100 | Batch 1270/2306 | Loss: 1.4919 | Acc: 0.4028
  Epoch 1/100 | Batch 1280/2306 | Loss: 1.5031 | Acc: 0.3967
  Epoch 1/100 | Batch 1290/2306 | Loss: 1.4986 | Acc: 0.3976
  Epoch 1/100 | Batch 1300/2306 | Loss: 1.4964 | Acc: 0.3978
  Epoch 1/100 | Batch 1310/2306 | Loss: 1.4933 | Acc: 0.3995
